INSTNM,LATITUDE,LONGITUDE
Western University of Health Sciences,34.058092,-117.747732
Columbia College,38.030367,-120.388385
Columbia College Hollywood,34.17972,-118.538793
Compton College,33.878226,-118.209463
Contra Costa College,37.969381,-122.337377
Cosumnes River College,38.45295,-121.423108
Crafton Hills College,34.039178,-117.101173
Cuesta College,35.331276,-120.742235
Cuyamaca College,32.744954,-116.943507
Cypress College,33.82833,-118.025143
De Anza College,37.320788,-122.045558
International School of Beauty Inc,33.729555,-116.403928
Dell'Arte International School of Physical Theatre,40.880924,-123.988808
College of the Desert,33.732108,-116.388271
Design Institute of San Diego,32.880926,-117.167374
Diablo Valley College,37.968516,-122.073142
Dominican University of California,37.981279,-122.512051
Dominican School of Philosophy & Theology,37.881099,-122.264612
East Los Angeles College,34.040531,-118.148785
El Camino Community College District,33.885229,-118.329913
Elegance International,34.098445,-118.338111
Emperor's College of Traditional Oriental Medicine,34.030438,-118.485119
Empire College,38.468052,-122.729337
Evergreen Valley College,37.30167,-121.76561
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,34.044209,-118.25993
FIDM-Fashion Institute of Design & Merchandising-San Francisco,37.786353,-122.406651
FIDM-Fashion Institute of Design & Merchandising-Orange County,33.691963,-117.852254
Feather River Community College District,39.953101,-120.973067
Federico Beauty Institute,38.64883,-121.497761
Fielding Graduate University,34.42941,-119.717161
Five Branches University,36.964348,-121.998245
Redondo Beach Beauty College,33.873098,-118.372137
Foothill College,37.361655,-122.127964
Franciscan School of Theology,33.232416,-117.320066
Fredrick and Charles Beauty College,40.798885,-124.164986
Fresno City College,36.768164,-119.796096
Fresno Pacific University,36.726831,-119.735199
Fuller Theological Seminary,34.14778,-118.140261
Fullerton College,33.875514,-117.918255
Gavilan College,36.972627,-121.569842
Gemological Institute of America-Carlsbad,33.131313,-117.318765
Glendale Community College,34.16745,-118.227666
Glendale Career College,34.149771,-118.254719
Golden Gate University-San Francisco,37.789374,-122.398969
Golden West College,33.732531,-118.002568
Graduate Theological Union,37.87554,-122.261847
Grossmont College,32.815246,-117.006277
Salon Success Academy-Riverside,33.943149,-117.391024
Hartnell College,36.675091,-121.666054
Harvey Mudd College,34.106515,-117.709837
Hilltop Beauty School,37.705502,-122.461467
Holy Names University,37.802276,-122.187804
Pacifica Graduate Institute,34.420881,-119.580414
Humboldt State University,40.877481,-124.078293
Humphreys University-Stockton and Modesto Campuses,38.011489,-121.316918
Imperial Valley College,32.827209,-115.503563
Institute for Business and Technology,37.368642,-121.969541
Interior Designers Institute,33.641393,-117.865722
Toni & Guy Hairdressing Academy-Santa Monica,34.017276,-118.494755
Irvine Valley College,33.675381,-117.777539
Bellus Academy-El Cajon,32.794072,-116.94627
John F. Kennedy University,37.956616,-122.054761
American Jewish University,34.128153,-118.471706
Reedley College,36.605428,-119.458555
Life Pacific College,34.098705,-117.829388
University of La Verne,34.100855,-117.773262
Laguna College of Art and Design,33.561448,-117.772564
Lake Tahoe Community College,38.926797,-119.972574
