INSTNM,STABBR,COSTT4_A,AVGFACSAL,MD_EARN_WNE_P10,ADM_RATE,SAT_AVG,DEBT_MDN,UGDS
Herzing University-Toledo,OH,24317,4040,40300,0.7576,NULL,9500,205
Capri Beauty College,IL,NULL,NULL,19300,NULL,NULL,9833,49
Milan Institute-Bakersfield,CA,NULL,NULL,16100,NULL,NULL,8971,411
Homestead Schools,CA,NULL,NULL,NULL,NULL,NULL,17072,166
Carrington College-Las Vegas,NV,NULL,5096,24800,1,NULL,9425.5,255
Carrington College-Reno,NV,NULL,6970,26800,1,NULL,9500,333
Chamberlain University-Florida,FL,NULL,6186,49000,0.25,NULL,16248,649
Remington College-Columbia Campus,SC,NULL,NULL,26300,0.766,NULL,9326,336
Remington College of Nursing Orlando,FL,NULL,7188,26300,NULL,NULL,9326,100
Washington Barber College Inc,AR,NULL,NULL,NULL,NULL,NULL,13000,126
InterCoast Colleges-Rancho Cordova,CA,NULL,NULL,22800,NULL,NULL,9500,28
Horizon University,IN,NULL,NULL,NULL,NULL,NULL,5866,58
San Diego Culinary Institute,CA,NULL,NULL,NULL,1,NULL,6147,54
Beyond 21st Century Beauty Academy,CA,NULL,NULL,NULL,NULL,NULL,1750,46
Academy for Jewish Religion-California,CA,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
Hollywood Beauty College,CA,NULL,NULL,NULL,NULL,NULL,5576,115
Angeles College,CA,NULL,5500,NULL,NULL,NULL,15159,145
Angeles Institute,CA,NULL,NULL,NULL,NULL,NULL,16850,105
Paul Mitchell the School-Temecula,CA,NULL,NULL,NULL,NULL,NULL,13581.5,275
European Academy of Cosmetology and Hairdressing,CT,NULL,NULL,NULL,NULL,NULL,9833,38
International Institute of Cosmetology,CT,NULL,NULL,NULL,NULL,NULL,9833,132
Florida School of Traditional Midwifery,FL,NULL,NULL,NULL,NULL,NULL,34900,34
Emerald Coast Technical College,FL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,130
Immokalee Technical College,FL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,212
American Academy of Cosmetology,FL,NULL,NULL,NULL,NULL,NULL,9500,120
University of Fort Lauderdale,FL,12565,2083,NULL,NULL,NULL,PrivacySuppressed,33
Aviation Institute of Maintenance-Orlando,FL,27163,NULL,NULL,NULL,NULL,20000,268
Summit Salon Academy,FL,NULL,NULL,NULL,NULL,NULL,7667,99
Summit Salon Academy-Gainesville,FL,NULL,NULL,NULL,NULL,NULL,11603,37
Tenaj Salon Institute,FL,NULL,NULL,NULL,NULL,NULL,11062.5,148
The Hair Academy Inc,GA,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,44
Profile Institute of Barber-Styling,GA,NULL,NULL,NULL,NULL,NULL,16500,60
Keune Academy by 124,GA,NULL,NULL,NULL,NULL,NULL,11625,93
Pacific Rim Christian University,HI,18314,3417,26700,0.9767,NULL,9500,126
Urban 113 School of Cosmetology,ID,31366,NULL,NULL,NULL,NULL,14936,25
Master Educators Beauty School,ID,NULL,NULL,NULL,NULL,NULL,9583,33
Ambria College of Nursing,IL,NULL,5004,PrivacySuppressed,NULL,NULL,4750,293
Midwestern Career College,IL,NULL,NULL,NULL,NULL,NULL,6917,45
Paul Mitchell the School-Normal,IL,NULL,NULL,NULL,NULL,NULL,9833,131
Innovations Design Academy,IL,NULL,NULL,NULL,NULL,NULL,5800,45
Aveda Fredric's Institute-Indianapolis,IN,NULL,NULL,NULL,NULL,NULL,9833,208
Summit Salon Academy,IN,NULL,NULL,NULL,NULL,NULL,9500,106
Eric Fisher Academy,KS,NULL,NULL,NULL,NULL,NULL,9979,152
A & W Healthcare Educators,LA,NULL,NULL,NULL,NULL,NULL,11046,48
My Le's Beauty College,LA,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,35
Blackstone Valley Vocational Regional School District,MA,NULL,NULL,NULL,NULL,NULL,7500,50
Southern Worcester County Regional Vocational School District,MA,NULL,NULL,NULL,NULL,NULL,9500,28
L'esprit Academy,MI,NULL,NULL,NULL,NULL,NULL,7752.5,129
Marketti Academy of Cosmetology,MI,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,59
CenterPoint Massage and Shiatsu Therapy School and Clinic,MN,NULL,NULL,NULL,NULL,NULL,9500,95
Avalon School of Cosmetology,MN,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,33
American Business and Technology University,MO,NULL,2253,NULL,NULL,NULL,7125,1819
City Vision University,MO,NULL,NULL,NULL,NULL,NULL,2657,74
Transformed Barber and Cosmetology Academy,MO,NULL,NULL,NULL,NULL,NULL,6333,105
Bitterroot School of Cosmetology,MT,NULL,NULL,NULL,NULL,NULL,8000,30
Atlanta Beauty & Barber Academy,GA,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,515
Montana Academy of Salons,MT,NULL,NULL,NULL,NULL,NULL,8819,102
Park West Barber School,NC,NULL,NULL,NULL,NULL,NULL,10036,175
National Career Institute,NJ,27250,NULL,NULL,NULL,NULL,9500,176
Toni & Guy Hairdressing Academy-Albuquerque,NM,NULL,NULL,NULL,NULL,NULL,10556,84
International Academy of Style,NV,NULL,NULL,NULL,NULL,NULL,8000,118
EDP School,NY,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,82
New York Medical Career Training Center,NY,NULL,NULL,NULL,NULL,NULL,4850,363
Institute of Culinary Education,NY,NULL,NULL,NULL,NULL,NULL,6439,613
New Life Business Institute,NY,NULL,NULL,NULL,NULL,NULL,5354,42
The Salon Professional Academy-Tonawanda,NY,NULL,NULL,NULL,NULL,NULL,6333,109
Onondaga School of Therapeutic Massage-Syracuse,NY,NULL,NULL,NULL,NULL,NULL,8769,74
Academy of Cosmetology and Esthetics NYC,NY,NULL,NULL,NULL,NULL,NULL,6222,130
Finger Lakes School of Massage,NY,NULL,NULL,NULL,NULL,NULL,9500,113
Four County Career Center,OH,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,142
Elevate Salon Institute,OH,NULL,NULL,NULL,NULL,NULL,6247.5,53
Summit Salon Academy-Perrysburg,OH,NULL,NULL,NULL,NULL,NULL,12000,76
Portland Actors Conservatory,OR,19650,NULL,NULL,0.9143,NULL,PrivacySuppressed,22
Somerset County Technology Center,PA,NULL,NULL,NULL,NULL,NULL,9500,100
Metro Beauty Academy,PA,NULL,NULL,NULL,NULL,NULL,8027,206
Barone Beauty Academy,PA,NULL,NULL,NULL,NULL,NULL,8028,56
Academy for Careers and Technology,SC,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,50
Aiken School of Cosmetology and Barbering,SC,NULL,NULL,NULL,NULL,NULL,6833,33
Love Beauty School Inc,TN,NULL,NULL,NULL,NULL,NULL,5500,53
Professional Career Training Institute,TX,NULL,NULL,NULL,NULL,NULL,4750,114
Cannon Institute of Higher Learning,TX,NULL,NULL,NULL,NULL,NULL,NULL,11
Houston International College Cardiotech Ultrasound School,TX,NULL,NULL,NULL,NULL,NULL,15025,61
DuVall's School of Cosmetology,TX,NULL,NULL,NULL,NULL,NULL,7916,91
Advanced Beauty College,TX,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,60
Texas Beauty College,TX,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,89
Avenue Five Institute,TX,NULL,NULL,NULL,NULL,NULL,7917,241
The Salon Professional Academy-Lewisville,TX,NULL,NULL,NULL,NULL,NULL,9500,80
Renaissance Academie,UT,NULL,NULL,NULL,NULL,NULL,10556,70
Bethel College,VA,18021,NULL,NULL,1,NULL,15125,54
Institute of Advanced Medical Esthetics,VA,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,1
Gary Manuel Aveda Institute,WA,NULL,NULL,NULL,0.8347,NULL,10538,287
Northwest School of Wooden Boat Building,WA,24525,4188,NULL,NULL,NULL,12885,52
Pinchot University,WA,NULL,6858,NULL,NULL,NULL,PrivacySuppressed,NULL
The Salon Professional Academy-Onalaska,WI,NULL,NULL,NULL,NULL,NULL,12000,87
Regency Beauty Institute-North Tucson,AZ,NULL,NULL,21800,NULL,NULL,9410,86
Brightwood College-Chula Vista,CA,NULL,3907,35500,NULL,NULL,9500,299
InterCoast Colleges-Roseville,CA,NULL,NULL,22800,NULL,NULL,9500,3
West Coast University-Orange County,CA,43784,7664,46400,0.5263,NULL,24979,1528
West Coast University-Ontario,CA,41496,7382,46400,0.4902,NULL,24979,1103
Dade Medical College-Homestead,FL,NULL,5039,PrivacySuppressed,NULL,NULL,16716.5,309
Virginia College-Augusta,GA,21509,2748,24400,NULL,NULL,9500,902
Midwest Technical Institute-East Peoria,IL,NULL,NULL,28100,NULL,NULL,9500,849
Paul Mitchell the School-Chicago,IL,NULL,NULL,PrivacySuppressed,NULL,NULL,9833,305
Brightwood College-Indianapolis,IN,NULL,4242,22100,NULL,NULL,9008,478
Regency Beauty Institute-Evansville,IN,NULL,NULL,21800,NULL,NULL,9410,65
Regency Beauty Institute-Wichita,KS,NULL,NULL,21800,NULL,NULL,9410,15
Regency Beauty Institute-Shreveport,LA,NULL,NULL,21800,NULL,NULL,9410,107
Regency Beauty Institute-Springfield,MO,NULL,NULL,21800,NULL,NULL,9410,72
Regency Beauty Institute-Canton,OH,NULL,NULL,21800,NULL,NULL,9410,138
Regency Beauty Institute-Spartanburg,SC,NULL,NULL,21800,NULL,NULL,9410,50
Regency Beauty Institute-Chattanooga,TN,NULL,NULL,21800,NULL,NULL,9410,58
Regency Beauty Institute-Mesquite,TX,NULL,NULL,21800,NULL,NULL,9410,77
Kaplan Career Institute-Dearborn,MI,NULL,NULL,25400,NULL,NULL,9500,36
Dorsey Business Schools-Waterford Pontiac,MI,28588,NULL,21600,NULL,NULL,7925.5,219
Regina's College of Beauty-High Point,NC,NULL,NULL,PrivacySuppressed,NULL,NULL,6622,59
Platt College-Miller-Motte-Fayetteville,NC,25952,3821,19000,NULL,NULL,9500,734
Drake College of Business-Newark,NJ,NULL,NULL,23200,NULL,NULL,9500,1335
European Massage Therapy School-Las Vegas,NV,NULL,NULL,PrivacySuppressed,NULL,NULL,4786,96
Harrison College-Grove City,OH,23678,3307,23600,1,NULL,9500,244
Platt College-Miller-Motte Technical-Columbus,GA,26044,3806,23000,NULL,NULL,8880.5,504
National University College-Ponce,PR,13853,2555,17100,0.8379,NULL,3500,1117
Fortis College-Grand Prairie,TX,NULL,NULL,24900,NULL,NULL,9500,304
Paul Mitchell the School-St George,UT,NULL,NULL,PrivacySuppressed,NULL,NULL,9500,161
The Art Institute of Virginia Beach,VA,31586,3981,30400,NULL,NULL,9658,663
Bryant & Stratton College-Bayshore,WI,20711,3984,22900,NULL,NULL,8283,589
Gerstner Sloan-Kettering Graduate School of Biomedical Sciences,NY,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
Daymar College-Online,KY,26771,3429,21200,NULL,NULL,12539.5,368
Virginia College-Columbia,SC,18947,2745,24400,NULL,NULL,9500,550
Sanford-Brown College-Dearborn,MI,NULL,5369,34200,NULL,NULL,9500,107
Sanford-Brown College-Grand Rapids,MI,NULL,4324,34200,NULL,NULL,9500,57
Sanford-Brown College-Indianapolis,IN,NULL,NULL,34200,NULL,NULL,9500,36
Sanford-Brown College-Hillside,IL,NULL,5266,34200,NULL,NULL,9500,41
Sanford-Brown College-Tinley Park,IL,NULL,4654,34200,NULL,NULL,9500,45
Sanford-Brown College-Phoenix,AZ,22863,4181,34200,NULL,NULL,9500,291
Sanford-Brown Institute-Orlando,FL,22272,4759,34200,NULL,NULL,9500,107
Fortis College-Indianapolis,IN,26213,3611,22200,NULL,NULL,10500,172
Brightwood College-Arlington,TX,NULL,3002,31400,NULL,NULL,8933,416
Brightwood College-Charlotte,NC,NULL,4038,24600,NULL,NULL,8835,382
Kaplan College-Jacksonville,FL,NULL,5622,25400,NULL,NULL,9500,278
Globe University-Madison East,WI,30686,3444,28500,NULL,NULL,14167,261
Minnesota School of Business-Lakeville,MN,26927,4139,32700,NULL,NULL,18500,197
Globe University-Green Bay,WI,28450,3175,28500,NULL,NULL,14167,235
Globe University-Madison West,WI,30146,3542,28500,NULL,NULL,14167,211
Globe University-Wausau,WI,30285,3022,28500,NULL,NULL,14167,181
Dade Medical College-Hollywood,FL,NULL,5289,PrivacySuppressed,NULL,NULL,16716.5,303
Empire Beauty School-E Memphis,TN,NULL,NULL,17200,NULL,NULL,6000,169
Empire Beauty School-Nashville,TN,NULL,NULL,17800,NULL,NULL,5500,65
Empire Beauty School-Jackson,TN,NULL,NULL,15700,NULL,NULL,6107,94
Empire Beauty School-Springfield,PA,NULL,NULL,20600,NULL,NULL,5000,197
Empire Beauty School-Paramus,NJ,NULL,NULL,15700,NULL,NULL,6107,130
Empire Beauty School-Speedway,IN,NULL,NULL,21000,NULL,NULL,6222,170
Empire Beauty School-Morrow,GA,NULL,NULL,15700,NULL,NULL,6107,255
Strayer University-Arkansas,AR,NULL,6193,47300,NULL,NULL,6334,105
Strayer University-Georgia,GA,32554,6474,47300,NULL,NULL,6334,3253
Strayer University-Louisiana,LA,NULL,6111,47300,NULL,NULL,6334,132
Strayer University-Mississippi,MS,NULL,6389,47300,NULL,NULL,6334,156
Strayer University-South Carolina,SC,32554,6986,47300,NULL,NULL,6334,1219
Strayer University-Texas,TX,32554,6560,47300,NULL,NULL,6334,954
The Art Institute of San Antonio,TX,31351,4444,33500,NULL,NULL,10500,1115
Globe University-La Crosse,WI,29929,3521,28500,NULL,NULL,14167,237
Empire Beauty School-S Memphis,TN,NULL,NULL,21000,NULL,NULL,6222,117
Empire Beauty School-Charlotte,NC,NULL,NULL,16900,NULL,NULL,6513,134
The Hair Design School-Durham,NC,NULL,NULL,21000,NULL,NULL,6222,65
Empire Beauty School-E Greensboro,NC,NULL,NULL,15700,NULL,NULL,6107,151
Empire Beauty School-Winston-Salem,NC,NULL,NULL,15700,NULL,NULL,6107,121
Empire Beauty School-West Palm,FL,NULL,NULL,20600,NULL,NULL,5000,111
Empire Beauty School-Pineville,NC,NULL,NULL,17000,NULL,NULL,5500,105
Empire Beauty School-N Memphis,TN,NULL,NULL,19100,NULL,NULL,7583,61
Broadview Entertainment Arts University,UT,28230,3750,25900,NULL,NULL,10800,145
Bryant & Stratton College-Hampton,VA,20755,3612,22900,NULL,NULL,8283,641
Paul Mitchell the School-Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,10556,187
All Beauty College,AZ,NULL,NULL,NULL,NULL,NULL,9500,75
Northern California Institute of Cosmetology Inc,CA,NULL,NULL,NULL,NULL,NULL,4600,44
Golden State College of Court Reporting,CA,NULL,NULL,NULL,NULL,NULL,13250,68
Preferred College of Nursing-Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,16891,159
Trinity School of Health and Allied Sciences,CA,NULL,NULL,NULL,NULL,NULL,14314,90
Paul Mitchell the School-Modesto,CA,NULL,NULL,NULL,NULL,NULL,9889.5,73
Cosmo Beauty Academy,CA,NULL,NULL,NULL,NULL,NULL,6928.5,64
Paul Mitchell the School-Fresno,CA,NULL,NULL,NULL,NULL,NULL,10556,248
Unitek College,CA,32958,7190,NULL,NULL,NULL,9335,904
Gurnick Academy of Medical Arts,CA,NULL,NULL,NULL,NULL,NULL,16850,843
Southern California University SOMA,CA,NULL,3111,NULL,NULL,NULL,PrivacySuppressed,48
Paul Mitchell the School-East Bay,CA,NULL,NULL,NULL,NULL,NULL,10556,259
South University-Richmond,VA,28471,5234,30300,0.5135,NULL,6109,634
South University-Virginia Beach,VA,28881,5104,30300,0.3421,NULL,6109,685
Aveda Institute-Denver,CO,NULL,NULL,NULL,NULL,NULL,12000,485
Paul Mitchell the School-Colorado Springs,CO,NULL,NULL,NULL,NULL,NULL,9272,231
The Salon Professional Academy-Colorado Springs,CO,NULL,NULL,NULL,NULL,NULL,12000,86
Paul Mitchell the School-Delaware,DE,NULL,NULL,NULL,NULL,NULL,9833,129
Future-Tech Institute,FL,11223,NULL,NULL,NULL,NULL,PrivacySuppressed,35
Fred K Marchman Technical College,FL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,161
Eureka Institute of Health and Beauty,FL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,75
The Salon Professional Academy-Ft Myers,FL,NULL,NULL,NULL,NULL,NULL,11667,36
SOLEX College,IL,NULL,4042,NULL,NULL,NULL,5500,84
Unity Cosmetology College,IL,NULL,NULL,NULL,NULL,NULL,9500,77
Universal Spa Training Academy,IL,NULL,NULL,NULL,NULL,NULL,7917,58
The Salon Professional Academy-Evansville,IN,NULL,NULL,NULL,NULL,NULL,9833,105
Tri County Regional Vocational Technical High School,MA,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,51
Compass College of Cinematic Arts,MI,29928,4140,NULL,0.9815,NULL,10697,65
Nova Academy of Cosmetology,MN,NULL,NULL,NULL,NULL,NULL,9500,84
Victory Trade School,MO,15100,NULL,NULL,NULL,NULL,PrivacySuppressed,27
Starting Points Inc,NJ,22147,NULL,NULL,NULL,NULL,5642,45
The Lab-Paul Mitchell Partner School,NJ,NULL,NULL,NULL,NULL,NULL,7667,138
SAE Institute of Technology-New York,NY,NULL,NULL,NULL,NULL,NULL,5500,218
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,NY,NULL,NULL,NULL,NULL,NULL,9500,27
The Artisan College of Cosmetology,OH,NULL,NULL,NULL,NULL,NULL,10413,30
Sage School of Massage & Esthetics,OR,NULL,NULL,NULL,NULL,NULL,7600,28
Peloton College,TX,NULL,NULL,NULL,NULL,NULL,6333,48
ABC Beauty Academy,TX,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,35
Salon & Spa Institute,TX,NULL,NULL,NULL,NULL,NULL,8454,105
American Beauty Academy,UT,NULL,NULL,NULL,NULL,NULL,9000,32
Summit Salon Academy,WA,NULL,NULL,NULL,NULL,NULL,12000,152
Academy of Cosmetology,WA,NULL,NULL,NULL,NULL,NULL,9500,19
Paul Mitchell the School-Milwaukee,WI,NULL,NULL,NULL,NULL,NULL,12000,161
ITT Technical Institute-Merrillville,IN,25911,5085,38800,0.6167,NULL,12224,357
ITT Technical Institute-Tallahassee,FL,28894,5154,38800,0.5837,NULL,12224,368
ITT Technical Institute-Salem,VA,28613,5176,38800,0.7351,NULL,12224,250
ITT Technical Institute-Akron,OH,27428,5056,38800,0.6515,NULL,12224,249
ITT Technical Institute-Cedar Rapids,IA,27139,5196,38800,NULL,NULL,12224,37
ITT Technical Institute-Corona,CA,26613,5640,38800,0.9814,NULL,12224,479
ITT Technical Institute-Johnson City,TN,25173,3750,38800,0.9197,NULL,12224,139
ITT Technical Institute-DeSoto,TX,25344,4776,38800,0.9,NULL,12224,187
ITT Technical Institute-North Charleston,SC,26608,4944,38800,0.9545,NULL,12224,265
ITT Technical Institute-Aurora,CO,26832,5531,38800,0.8269,NULL,12224,247
ITT Technical Institute-West Covina,CA,26525,4680,38800,1,NULL,12224,148
ITT Technical Institute-Culver City,CA,26800,6219,38800,0.9058,NULL,12224,319
ITT Technical Institute-Dearborn,MI,27139,4639,38800,0.9826,NULL,12224,438
ITT Technical Institute-Las Vegas,NV,27586,5104,38800,0.968,NULL,12224,569
Touro University Worldwide,CA,20498,6222,NULL,0.8814,NULL,5500,150
Touro University California,CA,NULL,7604,NULL,NULL,NULL,12500,NULL
The Chicago School of Professional Psychology at Washington DC,DC,NULL,6350,NULL,NULL,NULL,PrivacySuppressed,NULL
Anamarc College-Santa Teresa,NM,NULL,5278,PrivacySuppressed,NULL,NULL,7879,96
Touro University Nevada,NV,NULL,7938,NULL,NULL,NULL,12500,4
National College-Willoughby Hills,OH,26560,3413,24100,NULL,NULL,10203.5,66
Herzing University-Kenosha,WI,23712,4984,40300,0.7683,NULL,9500,427
Herzing University-Brookfield,WI,23928,5943,40300,0.6875,NULL,9500,336
Heald College-Modesto,CA,24722,3487,34600,NULL,NULL,6334,1091
Fortis Institute,TX,NULL,NULL,27200,NULL,NULL,9500,333
Southern Careers Institute-Brownsville,TX,NULL,NULL,20500,NULL,NULL,8237,313
Southern Careers Institute-Harlingen,TX,NULL,NULL,20500,NULL,NULL,8237,331
Strayer University-Global Region,DC,32554,7535,47300,NULL,NULL,6334,1429
Regina's College of Beauty-Charlotte,NC,NULL,NULL,PrivacySuppressed,NULL,NULL,6622,102
Kenneth Shuler School of Cosmetology-Florence,SC,NULL,NULL,16000,NULL,NULL,8003,146
Fortis College-Columbia,SC,19267,4696,26600,NULL,NULL,9500,543
Brown Mackie College-Albuquerque,NM,23926,3963,29600,NULL,NULL,9500,780
Brown Mackie College-St Louis,MO,22330,3757,29600,NULL,NULL,9500,634
Avant Gard The School,IN,NULL,NULL,NULL,NULL,NULL,9500,47
The Beauty Institute-Schwarzkopf Professional-Bellingham,WA,NULL,NULL,20900,NULL,NULL,10556,75
California University of Management and Sciences,CA,25820,2075,NULL,NULL,NULL,PrivacySuppressed,54
Ross Medical Education Center-Davison,MI,NULL,NULL,23300,NULL,NULL,9500,181
Ross Medical Education Center-Granger,IN,NULL,NULL,24400,NULL,NULL,9500,174
Ross Medical Education Center-Niles,OH,NULL,NULL,23600,NULL,NULL,9500,151
Ross Medical Education Center-Canton,MI,NULL,NULL,20400,NULL,NULL,9500,131
Pima Medical Institute-Houston,TX,NULL,5135,27700,NULL,NULL,8313,898
Illinois Media School-Chicago Campus,IL,NULL,NULL,31700,NULL,NULL,9500,220
Concorde Career College-Dallas,TX,NULL,4541,29400,1,NULL,9500,703
Concorde Career Institute-Orlando,FL,NULL,3171,19800,1,NULL,9500,521
Concorde Career College-San Antonio,TX,NULL,3952,25500,1,NULL,9500,681
Ecotech Institute,CO,21721,3470,24400,NULL,NULL,9500,476
Johnson & Wales University-Online,RI,NULL,9326,36600,NULL,NULL,18700,118
Altierus Career College-Fort Worth South,TX,26049,3492,24000,NULL,NULL,9500,535
Everest College-Santa Ana,CA,NULL,NULL,24000,NULL,NULL,9500,433
Geisinger-Lewistown Hospital School of Nursing,PA,30780,NULL,NULL,0.631,NULL,10500,55
Moreno Valley College,CA,12112,9233,NULL,NULL,NULL,4500,7101
Brittany Beauty Academy,NY,NULL,NULL,15800,NULL,NULL,7339,224
Onondaga School of Therapeutic Massage-Rochester,NY,NULL,NULL,NULL,NULL,NULL,8769,61
Norco College,CA,12619,9496,NULL,NULL,NULL,4500,8321
Daymar College-Louisville,KY,NULL,NULL,21200,NULL,NULL,12539.5,15
Dorsey Business Schools-Saginaw,MI,31242,NULL,21600,NULL,NULL,7925.5,222
Milan Institute of Cosmetology-La Quinta,CA,NULL,NULL,16000,NULL,NULL,9500,162
Milan Institute-Boise,ID,NULL,NULL,16100,NULL,NULL,8971,255
Milan Institute of Cosmetology-El Paso,TX,NULL,NULL,16000,NULL,NULL,9500,458
Universal Technical Institute-Dallas Fort Worth,TX,NULL,NULL,44300,NULL,NULL,12813,1006
Finger Lakes School of Massage,NY,NULL,NULL,NULL,NULL,NULL,9500,56
Park Avenue School of Cosmetology,MN,NULL,NULL,NULL,NULL,NULL,6253,53
Salter School of Nursing and Allied Health,NH,NULL,NULL,27100,NULL,NULL,7359,257
Salter School-New Bedford,MA,NULL,NULL,27100,NULL,NULL,7359,317
Harris School of Business-Upper Darby Campus,PA,NULL,NULL,23400,NULL,NULL,7756,594
Stratford School of Aviation Maintenance Technicians,CT,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,41
Brown Mackie College-San Antonio,TX,23867,4078,29600,NULL,NULL,9500,785
Hollywood Institute of Beauty Careers,FL,NULL,NULL,NULL,NULL,NULL,4815,53
Cortiva Institute-New Jersey,NJ,20942,NULL,PrivacySuppressed,NULL,NULL,6861,66
Cambridge Junior College-Woodland,CA,NULL,NULL,PrivacySuppressed,0.8667,NULL,9500,96
Anthem College-Atlanta,GA,27245,3714,27500,NULL,NULL,9556,356
ICPR Junior College-Manati,PR,11115,2041,15400,NULL,NULL,PrivacySuppressed,613
Ridley-Lowell Business & Technical Institute-Danbury,CT,NULL,NULL,25400,NULL,NULL,9408,176
Artistic Nails and Beauty Academy-Lakeland,FL,NULL,NULL,PrivacySuppressed,NULL,NULL,6333,220
Paul Mitchell the School-Murfreesboro,TN,NULL,NULL,PrivacySuppressed,NULL,NULL,9833,180
Allied American University,CA,NULL,3000,NULL,NULL,NULL,4500,2527
American Sentinel University,CO,19605,7588,NULL,NULL,NULL,11484,2328
Flashpoint Chicago A Campus of Columbia College Hollywood,IL,39183,6533,NULL,0.7375,NULL,6500,386
Hawaii Medical College,HI,17835,3333,NULL,NULL,NULL,9500,22
Carolina College of Hair Design,NC,NULL,NULL,NULL,NULL,NULL,NULL,59
Virginia College-Baton Rouge,LA,20769,2935,24400,NULL,NULL,9500,600
Remington College-Heathrow Campus,FL,23519,NULL,26300,0.4714,NULL,9326,235
College of Massage Therapy,ID,NULL,NULL,NULL,NULL,NULL,6734,12
Platt College-Miller-Motte-Jacksonville,NC,26996,3403,19000,NULL,NULL,9500,475
Platt College-Miller-Motte Technical-Augusta,GA,26442,3506,23000,NULL,NULL,8880.5,485
Platt College-Miller-Motte Technical-Conway,SC,24482,3875,19000,NULL,NULL,9500,752
Virginia College-Macon,GA,16069,3240,24400,NULL,NULL,9500,451
Virginia College-Spartanburg,SC,20407,2937,24400,NULL,NULL,9500,495
Aveda Institute-Portland,OR,NULL,NULL,NULL,NULL,NULL,14649,348
Chamberlain University-Virginia,VA,26120,6365,49000,0.8333,NULL,16248,363
Stevens-Henager College,ID,28213,3960,27700,NULL,NULL,8500,170
Summit Salon Academy-Cincinnati,OH,NULL,NULL,PrivacySuppressed,NULL,NULL,9500,58
Penrose Academy,AZ,NULL,NULL,NULL,NULL,NULL,10556,177
Virginia College-Richmond,VA,7201,3185,24400,NULL,NULL,9500,506
Skin Institute,MO,NULL,NULL,NULL,NULL,NULL,9238.5,55
Northwest Institute of Literary Arts,WA,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
Body Therapy Institute,NC,NULL,NULL,NULL,NULL,NULL,6967,64
Beauty Academy of South Florida,FL,NULL,NULL,NULL,NULL,NULL,5400,114
Ogle School Hair Skin Nails-North Dallas,TX,NULL,NULL,19900,NULL,NULL,7662,154
The Salon Professional Academy-North Little Rock,AR,NULL,NULL,NULL,NULL,NULL,9591,64
The Salon Professional Academy-St Charles,MO,NULL,NULL,NULL,NULL,NULL,7917,100
American College for Medical Careers,FL,NULL,4678,27100,NULL,NULL,7359,252
Mildred Elley-New York Campus,NY,22863,4914,23000,NULL,NULL,7503,609
National Paralegal College,AZ,18603,6993,NULL,NULL,NULL,7813,1089
Carolina College of Biblical Studies,NC,17692,NULL,NULL,NULL,NULL,7135,113
Star Career Academy-Audubon,PA,NULL,NULL,31600,NULL,NULL,8762.5,251
Allstate Hairstyling & Barber College,OH,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,35
Omega Graduate School,TN,NULL,1250,NULL,NULL,NULL,PrivacySuppressed,NULL
Jung Tao School of Classical Chinese Medicine,NC,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
New York Film Academy,CA,NULL,8041,NULL,NULL,NULL,5500,1344
The Collective School Of Music,NY,NULL,NULL,NULL,NULL,NULL,NULL,50
International College of Cosmetology,CA,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,179
Bella Capelli Academy,PA,NULL,NULL,NULL,NULL,NULL,8019,89
Institute of Medical Careers,PA,NULL,NULL,NULL,NULL,NULL,6911,54
Toni & Guy Hairdressing Academy-Modesto,CA,NULL,NULL,NULL,NULL,NULL,9500,47
Georgia Central University,GA,25010,2292,NULL,NULL,NULL,PrivacySuppressed,156
Flagler Technical Institute,FL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,338
Galaxy Medical College,CA,NULL,NULL,NULL,NULL,NULL,5584,31
