INSTNM,DEBT_MDN,COSTT4_A,ADM_RATE,SAT_AVG,UGDS,AVGFACSAL,MD_EARN_WNE_P10
College of the Ouachitas,4080,12215,NULL,NULL,817,4709,26200
Ozarka College,6000,11364,NULL,NULL,1226,4628,22800
University of the Ozarks,12000,34532,0.6136,1057,568,5489,38700
University of Arkansas Community College-Morrilton,4321.5,11593,0.5838,930,2077,4606,27100
Philander Smith College,14750,24877,NULL,NULL,554,4598,23800
Phillips Community College of the University of Arkansas,3500,16140,NULL,NULL,986,4280,21500
Southeast Arkansas College,3500,9672,NULL,NULL,1415,3843,25000
Professional Cosmetology Education Center,8456,NULL,NULL,NULL,50,NULL,PrivacySuppressed
University of Arkansas-Pulaski Technical College,9500,17064,NULL,NULL,9480,5198,28000
University of Arkansas Community College-Hope,2250,14349,NULL,NULL,1157,4493,24000
University of Arkansas Community College Rich Mountain,PrivacySuppressed,10415,NULL,NULL,553,5085,21300
Paul Mitchell the School-Arkansas,9780,NULL,NULL,NULL,96,NULL,PrivacySuppressed
Searcy Beauty College,6333,NULL,NULL,NULL,104,NULL,14200
Shorter College,5500,7500,NULL,NULL,330,4422,NULL
Williams Baptist University,9038,22330,0.6798,1001,501,5359,32100
South Arkansas Community College,6453,17675,NULL,NULL,1306,4218,27200
Southern Arkansas University Main Campus,8250,17738,0.6081,989,2640,6077,34300
Southern Arkansas University Tech,3588,16258,NULL,NULL,894,4472,25800
Velvatex College of Beauty Culture,PrivacySuppressed,NULL,NULL,NULL,25,NULL,PrivacySuppressed
University of Arkansas-Fort Smith,6295,14335,0.5736,1028,6508,6658,31300
Academy of Art University,11216,34512,NULL,NULL,10300,7062,37700
ITT Technical Institute-Rancho Cordova,12224,26209,0.3845,NULL,510,6627,38800
Academy of Chinese Culture and Health Sciences,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL
The Academy of Radio and TV Broadcasting,9000,NULL,NULL,NULL,44,NULL,29500
Avalon School of Cosmetology-Alameda,6333,NULL,NULL,NULL,186,NULL,20300
College of Alameda,5000,10251,NULL,NULL,5147,8069,31500
Allan Hancock College,5297,10735,NULL,NULL,9692,7896,29500
American Academy of Dramatic Arts-Los Angeles,9500,51197,0.1479,NULL,258,6567,26000
American Baptist Seminary of the West,PrivacySuppressed,NULL,NULL,NULL,NULL,4707,NULL
American Film Institute Conservatory,PrivacySuppressed,NULL,NULL,NULL,NULL,6829,NULL
American Beauty College,3500,NULL,NULL,NULL,45,NULL,PrivacySuppressed
American Career College-Los Angeles,9500,NULL,NULL,NULL,1770,5222,30600
American Conservatory Theater,PrivacySuppressed,NULL,NULL,NULL,0,8434,PrivacySuppressed
American River College,5420,12319,NULL,NULL,27332,8126,30500
Everest College-Hayward,9500,NULL,NULL,NULL,170,NULL,22900
Antelope Valley College,6000,11430,NULL,NULL,12416,8477,27900
Art Center College of Design,29811,56400,0.8167,NULL,1742,6826,50300
