INSTNM,DEBT_MDN,COSTT4_A,ADM_RATE,SAT_AVG,UGDS,AVGFACSAL,MD_EARN_WNE_P10
Ave Maria School of Law,PrivacySuppressed,NULL,NULL,NULL,NULL,9922,NULL
Tulsa Welding School-Jacksonville,9500,NULL,NULL,NULL,696,NULL,35300
ITT Technical Institute-Canton,12224,27412,0.6701,NULL,442,5743,38800
ITT Technical Institute-Plymouth Meeting,12224,27446,0.8882,NULL,310,5438,38800
Pennsylvania College of Health Sciences,14000,28816,0.5201,955,1394,5728,50900
West Virginia Junior College-Bridgeport,9852,17627,NULL,NULL,210,3635,18800
Antioch University-PhD Program in Leadership and Change,18583,NULL,NULL,NULL,NULL,9798,36700
Vatterott College-Cleveland,13000,22369,NULL,NULL,229,4115,28300
St Louis College of Health Careers-Fenton,9500,NULL,0.7879,NULL,301,4083,23700
Interactive College of Technology-Gainesville,5668.5,16580,NULL,NULL,35,2730,20600
San Joaquin Valley College-Ontario,12997.5,22689,NULL,NULL,698,5985,27100
Anthem Institute-Cherry Hill,9396,28774,NULL,NULL,251,NULL,33500
Alaska Christian College,4000,18094,NULL,NULL,53,5310,NULL
Grantham University,4750,15252,NULL,NULL,9521,4630,NULL
Minnesota School of Business-Plymouth,18500,28206,NULL,NULL,184,5215,32700
Carrington College-Albuquerque,9425.5,NULL,1,NULL,647,5955,24800
NASCAR Technical Institute,13132,NULL,NULL,NULL,1510,NULL,43700
Altierus Career College-Tigard,9500,NULL,NULL,NULL,314,NULL,23500
University of the Potomac-VA Campus,9500,17800,NULL,NULL,26,5983,46400
Anthem Institute-Las Vegas,9488.5,25370,NULL,NULL,289,NULL,26600
Milan Institute-Palm Desert,9235,NULL,NULL,NULL,272,NULL,22900
National American University-Overland Park,6976,23880,NULL,NULL,470,5779,34800
Altierus Career College-Austin,9500,NULL,NULL,NULL,880,NULL,20900
Everest College-Burr Ridge,9500,NULL,NULL,NULL,288,NULL,25100
Fortis Institute,9374,25314,NULL,NULL,365,3320,25600
Tohono O'Odham Community College,PrivacySuppressed,7853,NULL,NULL,184,3934,PrivacySuppressed
Everest College-Dallas,9500,30277,NULL,NULL,1071,3762,24200
Edward Via College of Osteopathic Medicine,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL
The Salter School-Malden Campus,7359,NULL,NULL,NULL,345,NULL,27100
Pacific College of Oriental Medicine-Chicago,12500,27450,NULL,NULL,75,4569,18700
Southwest Institute of Healing Arts,7137,NULL,NULL,NULL,1062,NULL,23000
InterCoast Colleges-Riverside,9500,NULL,NULL,NULL,84,NULL,22800
Ottawa University-Jeffersonville,11250,NULL,NULL,NULL,87,6250,40100
University of Antelope Valley,8000,NULL,NULL,NULL,793,4620,22700
Birthingway College of Midwifery,35666,NULL,NULL,NULL,67,NULL,PrivacySuppressed
Blue Water College of Cosmetology Inc,5500,NULL,NULL,NULL,57,NULL,PrivacySuppressed
Pima Medical Institute-Albuquerque West,7519,NULL,NULL,NULL,103,NULL,PrivacySuppressed
Brighton Center's Center for Employment Training,PrivacySuppressed,NULL,NULL,NULL,89,NULL,13900
California Healing Arts College,9500,NULL,NULL,NULL,9,NULL,23200
Dallas Barber & Stylist College,PrivacySuppressed,NULL,NULL,NULL,158,NULL,12700
NorthShore University HealthSystem School of Nurse Anesthesia,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL
Faith International University,10472,23595,NULL,NULL,130,4028,PrivacySuppressed
Family of Faith Christian University,PrivacySuppressed,21795,0.6667,NULL,19,NULL,PrivacySuppressed
Hood Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,6,3824,NULL
Colegio Educativo Tecnologico Industrial Inc,PrivacySuppressed,NULL,NULL,NULL,188,NULL,PrivacySuppressed
International Technological University,NULL,NULL,NULL,NULL,NULL,3523,NULL
Irene's Myomassology Institute,6598,NULL,NULL,NULL,353,NULL,22600
Jay's Technical Institute,5500,NULL,NULL,NULL,128,NULL,13900
Mr John's School of Cosmetology & Nails-Jacksonville,10299,NULL,NULL,NULL,39,NULL,17200
NTMA Training Centers of Southern California,7862,NULL,NULL,NULL,242,NULL,35800
P C Age-Jersey City,12120.5,NULL,NULL,NULL,196,NULL,25400
PC AGE-Metropark,12120.5,NULL,NULL,NULL,65,NULL,25400
Hollywood Institute,8500,NULL,NULL,NULL,240,NULL,21300
South Florida Institute of Technology,1441,NULL,NULL,NULL,756,NULL,15500
Southeastern Institute-Charleston,9500,NULL,0.7395,NULL,229,NULL,PrivacySuppressed
Southeastern College-Jacksonville,9500,27776,0.9524,NULL,205,4133,PrivacySuppressed
Toni & Guy Hairdressing Academy-Colorado Springs,10556,NULL,NULL,NULL,49,NULL,20900
Trend Barber College,9500,NULL,NULL,NULL,196,NULL,PrivacySuppressed
Valley Grande Institute for Academic Studies,7917,NULL,NULL,NULL,118,NULL,25700
West Coast University-Los Angeles,24979,41318,0.5444,NULL,1374,8276,46400
Williamson Christian College,10075,20737,NULL,NULL,72,500,PrivacySuppressed
Music City Barber College,9500,NULL,NULL,NULL,107,NULL,17800
Triangle Tech Inc-Sunbury,12000,24535,NULL,NULL,105,3392,38300
DigiPen Institute of Technology,18500,37848,0.6635,1225,894,7659,81300
California College of Vocational Careers,9500,NULL,NULL,NULL,69,NULL,20600
Fortis Institute-Fort Lauderdale,9500,28772,NULL,NULL,214,4630,24900
University of Phoenix-Charlotte Campus,9254,23434,NULL,NULL,828,2522,48400
Cortiva Institute-Groton,6374,NULL,NULL,NULL,157,NULL,30500
Pierpont Community and Technical College,6500,13695,NULL,NULL,2108,5549,PrivacySuppressed
ITT Technical Institute-Duluth,12224,27093,0.8525,NULL,591,4981,38800
ITT Technical Institute-Hilliard,12224,26344,0.6471,NULL,322,5100,38800
University of Phoenix-Indiana,9254,23692,NULL,NULL,338,1972,48400
Dewey University-Hato Rey,PrivacySuppressed,9819,NULL,NULL,2470,2197,16100
InterCoast Colleges-West Covina,9500,NULL,NULL,NULL,37,NULL,22800
American College of Healthcare Sciences,4750,23600,0.9559,NULL,293,NULL,NULL
Le Cordon Bleu College of Culinary Arts-Atlanta,11094,19473,NULL,NULL,1108,4181,30100
Colorado Media School,9500,NULL,NULL,NULL,187,NULL,29500
Paul Mitchell the School-Rhode Island,9833,NULL,NULL,NULL,188,NULL,19900
Platt College-Miller-Motte Technical-Chattanooga,8880.5,25624,NULL,NULL,442,3124,23000
Milan Institute-Sparks,8971,NULL,NULL,NULL,328,NULL,23500
Empire Beauty School-Framingham,6222,NULL,NULL,NULL,94,NULL,21000
Westwood College-Chicago Loop,11280,28900,NULL,NULL,417,3920,29800
Interactive College of Technology,4177,NULL,NULL,NULL,22,3536,23500
Bexley Hall Seabury Western Theological Seminary Federation Inc.,PrivacySuppressed,NULL,NULL,NULL,NULL,7048,NULL
Anthem College-Fenton,9155,27440,NULL,NULL,282,3550,22100
Altierus Career College-Norcross,9500,25717,NULL,NULL,527,3375,24400
Strayer University-Tennessee,6334,32554,NULL,NULL,1194,6532,47300
Strayer University-Pennsylvania,6334,32554,NULL,NULL,1644,6762,47300
Brightwood College-Brownsville,9295.5,NULL,NULL,NULL,461,2938,23600
Brightwood College-Corpus Christi,9296.5,NULL,NULL,NULL,369,4932,23800
Helms Career Institute,7917,NULL,NULL,NULL,413,NULL,14400
Altierus Career College-Arlington,9500,27697,NULL,NULL,643,3694,23300
University of Phoenix-Columbus Georgia Campus,9254,23814,NULL,NULL,792,2669,48400
University of Phoenix-Memphis Campus,9254,23827,NULL,NULL,1147,2548,48400
University of Phoenix-Little Rock Campus,9254,23331,NULL,NULL,562,1485,48400
The Beauty Institute Schwarzkopf Professional-Boise,12000,NULL,NULL,NULL,105,NULL,13400
Charlie's Guard-Detective Bureau and Academy Inc,PrivacySuppressed,8931,NULL,NULL,96,NULL,PrivacySuppressed
PCI Academy-Plymouth,8382,NULL,NULL,NULL,57,NULL,26300
Altierus Career College-Tacoma,9500,25721,NULL,NULL,859,3623,29300
National University College-Rio Grande,3500,14101,0.835,NULL,1868,2493,17100
Creative Images Institute of Cosmetology-South Dayton,8540.5,NULL,NULL,NULL,99,NULL,15500
Fortis Institute-Jacksonville,9500,NULL,NULL,NULL,158,NULL,23000
Brookline College-Albuquerque,9335,NULL,NULL,NULL,272,2997,21900
Byzantine Catholic Seminary of Saints Cyril and Methodius,PrivacySuppressed,NULL,NULL,NULL,NULL,1554,NULL
Remington College-Cleveland West Campus,9326,NULL,NULL,NULL,73,NULL,26300
Northcentral University,6955,NULL,NULL,NULL,250,5890,PrivacySuppressed
Colorado Technical University-Online,6334,22041,NULL,NULL,17902,7655,49000
Baker College of Allen Park,8471,17892,NULL,NULL,3761,4641,26400
Bayamon Community College,PrivacySuppressed,8971,NULL,NULL,147,NULL,PrivacySuppressed
Harris School of Business-Dover Campus,7079,NULL,NULL,NULL,438,NULL,20900
Folsom Lake College,4750,15048,NULL,NULL,7396,7928,PrivacySuppressed
LeGrand Institute of Cosmetology Inc,6533,NULL,NULL,NULL,31,NULL,PrivacySuppressed
Everest Institute-Detroit,9500,NULL,NULL,NULL,494,NULL,20900
Hussian College-Daymar College Murfreesboro,15729,29475,NULL,NULL,190,3336,22400
Cambridge Technical Institute,PrivacySuppressed,NULL,0.4426,NULL,144,NULL,PrivacySuppressed
Empire Beauty School-Midlothian,5500,NULL,NULL,NULL,145,NULL,17800
Empire Beauty School-Owings Mills,5000,NULL,NULL,NULL,122,NULL,20600
Empire Beauty School-West Mifflin,5000,NULL,NULL,NULL,109,NULL,20600
Bold Beauty Academy,9356,NULL,NULL,NULL,165,NULL,PrivacySuppressed
ATI College-Norwalk,18690,NULL,NULL,NULL,120,NULL,PrivacySuppressed
Advance Science International College,9500,NULL,NULL,NULL,39,NULL,PrivacySuppressed
Advanced College,9082,NULL,NULL,NULL,227,4750,PrivacySuppressed
Advance Tech College,PrivacySuppressed,NULL,NULL,NULL,55,NULL,PrivacySuppressed
Advanced Training Associates,6600,NULL,NULL,NULL,103,3417,PrivacySuppressed
American Advanced Technicians Institute,6544,NULL,NULL,NULL,97,NULL,PrivacySuppressed
Anamarc College-El Paso Central,7879,NULL,NULL,NULL,347,3813,PrivacySuppressed
Baptist University of the Americas,7750,14542,NULL,NULL,189,3756,PrivacySuppressed
The Beauty Institute,PrivacySuppressed,NULL,NULL,NULL,70,NULL,PrivacySuppressed
Beis Medrash Heichal Dovid,PrivacySuppressed,16000,1,NULL,96,4560,PrivacySuppressed
Bellefonte Academy of Beauty,9500,NULL,NULL,NULL,141,NULL,PrivacySuppressed
Blue Cliff Career College,7917,NULL,NULL,NULL,82,NULL,21300
Career Beauty College,8500,NULL,NULL,NULL,27,NULL,PrivacySuppressed
Paul Mitchell the School-Gastonia,9500,NULL,NULL,NULL,386,NULL,PrivacySuppressed
CES College,14898,NULL,NULL,NULL,166,NULL,PrivacySuppressed
Stellar Career College,4100,NULL,NULL,NULL,121,NULL,PrivacySuppressed
Mid City College,18067,31430,NULL,NULL,31,1808,PrivacySuppressed
Auguste Escoffier School of Culinary Arts-Austin,9500,NULL,NULL,NULL,261,NULL,PrivacySuppressed
Culinary Institute Inc,12730,30117,NULL,NULL,368,4570,PrivacySuppressed
Dade Medical College-Miami,16716.5,NULL,NULL,NULL,1083,4739,PrivacySuppressed
Escuela Hotelera de San Juan,3500,14879,NULL,NULL,886,NULL,17300
Expertise Cosmetology Institute,8450,NULL,NULL,NULL,29,NULL,PrivacySuppressed
Paul Mitchell the School-Monroe,12000,NULL,NULL,NULL,57,NULL,PrivacySuppressed
Orion Institute,7917,NULL,NULL,NULL,48,NULL,PrivacySuppressed
Health Works Institute,7220,NULL,0.6364,NULL,36,NULL,PrivacySuppressed
In Session Arts of Cosmetology Beauty School,PrivacySuppressed,NULL,NULL,NULL,77,NULL,PrivacySuppressed
Moore Career College,5991,NULL,0.6349,NULL,59,NULL,PrivacySuppressed
Industrial Technical College,PrivacySuppressed,8730,NULL,NULL,258,NULL,PrivacySuppressed
Institute of Beauty Occupation and Technology Course,PrivacySuppressed,NULL,NULL,NULL,52,NULL,PrivacySuppressed
Institute of Clinical Acupuncture & Oriental Med,PrivacySuppressed,NULL,NULL,NULL,NULL,3000,NULL
Institute of Hair Design,PrivacySuppressed,NULL,NULL,NULL,19,NULL,PrivacySuppressed
Gwinnett College-Marietta Campus,8500,NULL,NULL,NULL,539,3633,25300
Jones International University,9500,20576,NULL,NULL,1586,5808,PrivacySuppressed
Leston College,PrivacySuppressed,NULL,NULL,NULL,180,NULL,PrivacySuppressed
Lynndale Fundamentals of Beauty School,PrivacySuppressed,NULL,NULL,NULL,6,NULL,PrivacySuppressed
Medical Professional Institute,7706,NULL,0.9091,NULL,283,NULL,PrivacySuppressed
Charlotte Christian College and Theological Seminary,9500,24685,NULL,NULL,122,1882,PrivacySuppressed
Nightingale College,10500,NULL,NULL,NULL,86,6388,PrivacySuppressed
Omnitech Institute,9500,NULL,NULL,NULL,92,NULL,31500
PITC Institute,9500,NULL,NULL,NULL,289,NULL,PrivacySuppressed
Skinworks School of Advanced Skincare,6934,NULL,NULL,NULL,56,NULL,PrivacySuppressed
Southeastern Institute-Columbia,9500,NULL,0.7692,NULL,177,NULL,PrivacySuppressed
Technical Learning Centers Inc,9500,NULL,NULL,NULL,290,NULL,PrivacySuppressed
Total Look School of Cosmetology & Massage Therapy,11650,NULL,NULL,NULL,5,NULL,PrivacySuppressed
The Art Institute of Tucson,9500,29827,NULL,NULL,426,4111,29600
Turning Point Beauty College,13917,NULL,NULL,NULL,49,NULL,PrivacySuppressed
Unitech Training Academy-Lafayette,5300,NULL,NULL,NULL,129,NULL,22300
Mountwest Community and Technical College,3947,11846,NULL,NULL,2041,4531,PrivacySuppressed
Centura College-Columbia,9500,27181,NULL,NULL,64,3661,20200
Flagler College-Tallahassee,15500,NULL,NULL,NULL,469,5097,36700
Kanawha Valley Community and Technical College,5500,12528,NULL,NULL,1558,4738,PrivacySuppressed
American InterContinental University,9194,22497,NULL,NULL,10103,5713,39100
Westwood College-Atlanta Peachtree Center Campus,17958,26698,NULL,NULL,448,4055,33200
ITT Technical Institute-Eden Prairie,12224,25911,0.9048,NULL,208,5008,38800
Virginia College-Mobile,9500,22176,NULL,NULL,561,3147,24400
Le Cordon Bleu College of Culinary Arts-Las Vegas,8181,20537,NULL,NULL,605,4140,32100
International Academy of Design and Technology-Troy,27000,20796,NULL,NULL,347,4794,26100
American InterContinental University-Houston,9194,24724,NULL,NULL,463,5922,39100
Sanford-Brown College-Houston North Loop,9500,NULL,NULL,NULL,81,NULL,27600
University of California-Merced,13500,30637,0.7551,1010,5837,8657,PrivacySuppressed
Everest College-Fort Worth,9500,25893,NULL,NULL,505,4032,25300
Remington College-North Houston Campus,9326,26917,0.7808,NULL,474,3601,26300
Paul Mitchell the School-Orlando,9833,NULL,NULL,NULL,252,NULL,19900
Regency Beauty Institute-Maplewood,9410,NULL,NULL,NULL,58,NULL,21800
Pima Medical Institute-Las Vegas,8313,NULL,NULL,NULL,1018,5328,27700
Remington College-Nashville Campus,9326,30472,0.8315,NULL,298,3254,26300
Platt College-OKC-Memorial,9449,NULL,NULL,NULL,266,3989,22800
Central Methodist University-College of Graduate and Extended Studies,10900,NULL,NULL,NULL,1624,4869,34700
Westwood College-Northlake,17262.5,28444,NULL,NULL,420,3928,32300
University of Phoenix-New Jersey,9254,22602,NULL,NULL,455,2594,48400
University of Phoenix-Minnesota,9254,25594,NULL,NULL,153,1587,48400
Brightwood College-Fort Worth,9296.5,NULL,NULL,NULL,264,3378,23800
Kaplan College-Lubbock,9260,NULL,NULL,NULL,265,3536,20700
North-West College-Riverside,7830,NULL,1,NULL,392,NULL,23900
Everest Institute-Chelsea,9500,NULL,NULL,NULL,434,NULL,26000
Everest Institute-Eagan,9500,NULL,NULL,NULL,327,NULL,21400
University of Phoenix-Kentucky,9254,23434,NULL,NULL,203,2514,48400
Altierus Career College-Orange Park,13967,26993,NULL,NULL,711,3556,26700
Wyotech-West Sacramento,9799,NULL,NULL,NULL,155,1000,43400
Altierus Career College-Bissonnet,9500,NULL,NULL,NULL,934,NULL,30300
Everest College-McLean,9500,28204,NULL,NULL,237,3434,24000
Colegio Tecnico de Electricidad Galloza,PrivacySuppressed,NULL,NULL,NULL,76,NULL,PrivacySuppressed
Empire Beauty School-St Paul,5500,NULL,NULL,NULL,76,NULL,17000
Arthur's Beauty School Inc-Pine Bluff,9500,NULL,NULL,NULL,13,NULL,14100
Arthur's Beauty School Inc-Conway,9500,NULL,NULL,NULL,67,NULL,14100
Vatterott College-St Charles,13000,22233,NULL,NULL,305,3993,28300
Branford Hall Career Institute-North Brunswick,8528,27069,NULL,NULL,293,NULL,41500
Anthem Career College-Memphis,9488.5,28875,NULL,NULL,883,3279,26600
Anthem College-Kansas City,9556,30463,NULL,NULL,74,3537,27500
Spa Tech Institute-Ipswich,6333,NULL,NULL,NULL,43,NULL,23100
Spa Tech Institute-Westboro,6333,NULL,NULL,NULL,93,NULL,23100
Spa Tech Institute-Plymouth,6333,NULL,NULL,NULL,136,NULL,23100
Milan Institute of Cosmetology-San Antonio Walzem,9500,NULL,NULL,NULL,233,NULL,16000
Bridgemont Community and Technical College,5500,8372,NULL,NULL,697,6001,PrivacySuppressed
Wards Corner Beauty Academy-Virginia Beach,9500,NULL,NULL,NULL,35,NULL,15700
Neumont College of Computer Science,22000,37379,0.7997,1104,420,6991,47900
Johnson & Wales University-Charlotte,18700,39499,0.5961,NULL,2325,7843,36600
University of Phoenix-Central Valley Campus,9254,24393,NULL,NULL,2348,2973,48400
L'Ecole Culinaire-St Louis,13000,23210,NULL,NULL,269,5673,26000
Roseman University of Health Sciences,24968,NULL,NULL,NULL,264,9824,PrivacySuppressed
Fortis Institute-Port Saint Lucie,9500,24083,NULL,NULL,464,4836,24900
Fortis Institute-Miami,9374,15140,NULL,NULL,130,5203,25600
Aviation Institute of Maintenance-Manassas,15781.5,29543,NULL,NULL,77,5227,PrivacySuppressed
Everest College-North Aurora,9500,NULL,NULL,NULL,275,NULL,26600
Cosmetology School of Arts and Science LLC,9500,NULL,NULL,NULL,32,NULL,PrivacySuppressed
Universal Technical Institute of Pennsylvania Inc,12813,NULL,NULL,NULL,1728,NULL,44300
Heritage College-Kansas City,9500,NULL,NULL,NULL,616,3098,23700
Kenneth Shuler School of Cosmetology-Spartanburg,6210,NULL,NULL,NULL,113,NULL,14900
Kenneth Shuler School of Cosmetology-Columbia,6210,NULL,NULL,NULL,119,NULL,14900
Divine Mercy University,PrivacySuppressed,NULL,NULL,NULL,NULL,8162,NULL
Pivot Point Academy-Chicago,12500,NULL,NULL,NULL,21,NULL,24100
Lincoln Technical Institute-Shelton,9875,NULL,NULL,NULL,532,NULL,42800
Minnesota School of Business-Waite Park,18500,29130,NULL,NULL,339,3764,32700
Minnesota School of Business-Shakopee,18500,28296,NULL,NULL,110,3461,32700
Northwest Career College,6647,NULL,NULL,NULL,207,6333,PrivacySuppressed
Soma Institute-The National School of Clinical Massage Therapy,7916,NULL,NULL,NULL,268,NULL,PrivacySuppressed
Xtreme Career Institute,PrivacySuppressed,NULL,NULL,NULL,33,NULL,PrivacySuppressed
Marinello Schools of Beauty-Niantic,7570,NULL,NULL,NULL,307,NULL,PrivacySuppressed
American Academy of Acupuncture and Oriental Medicine,PrivacySuppressed,NULL,NULL,NULL,NULL,4714,NULL
Arizona School of Acupuncture and Oriental Medicine,PrivacySuppressed,NULL,NULL,NULL,NULL,3556,NULL
Ave Maria University,11000,34729,0.5959,1070,904,7598,PrivacySuppressed
Blue Sky School of Professional Massage and Therapeutic Bodywork,9004,NULL,NULL,NULL,39,NULL,PrivacySuppressed
Buchanan Beauty College,3500,NULL,NULL,NULL,21,NULL,PrivacySuppressed
CALC Institute of Technology,8021,NULL,NULL,NULL,201,NULL,PrivacySuppressed
Cambridge Junior College-Yuba City,9500,NULL,0.8906,NULL,167,3014,PrivacySuppressed
Cambridge Institute of Allied Health & Technology,7600,NULL,NULL,NULL,185,NULL,PrivacySuppressed
Career Care Institute,9500,NULL,NULL,NULL,615,NULL,PrivacySuppressed
ATA Career Education,12667,22795,NULL,NULL,228,1603,PrivacySuppressed
Career Quest Learning Centers-Lansing,9500,NULL,NULL,NULL,422,3072,PrivacySuppressed
Central State Massage Academy,6791.5,NULL,NULL,NULL,36,NULL,PrivacySuppressed
Community Christian College,7200,20576,NULL,NULL,60,5210,PrivacySuppressed
Credence Institute of Beauty,8973,NULL,NULL,NULL,27,NULL,PrivacySuppressed
Culpeper Cosmetology Training Center,6000,NULL,NULL,NULL,33,NULL,PrivacySuppressed
Day Spa Career College,5500,NULL,NULL,NULL,44,NULL,PrivacySuppressed
Eastern School of Acupuncture and Traditional Medicine,27885,NULL,NULL,NULL,64,NULL,PrivacySuppressed
Ecclesia College,5500,25657,0.3074,NULL,175,1000,PrivacySuppressed
Employment Solutions-College for Technical Education,9500,NULL,NULL,NULL,176,NULL,PrivacySuppressed
Estelle Medical Academy,4786,9663,NULL,NULL,67,NULL,PrivacySuppressed
Evergreen Beauty and Barber College-Everett,6002,NULL,NULL,NULL,128,NULL,PrivacySuppressed
Paul Mitchell the School-Great Lakes,9500,NULL,NULL,NULL,87,NULL,PrivacySuppressed
Healthcare Training Institute,7811,NULL,0.8,NULL,68,NULL,PrivacySuppressed
John D Rockefeller IV Career Center,9500,12348,NULL,NULL,3,NULL,PrivacySuppressed
Los Angeles College of Music,12000,34758,NULL,NULL,148,NULL,PrivacySuppressed
Maple Springs Baptist Bible College and Seminary,PrivacySuppressed,19825,NULL,NULL,76,531,NULL
MCI Institute of Technology,6417,NULL,NULL,NULL,148,NULL,PrivacySuppressed
Pacific Coast Trade School,5389,NULL,NULL,NULL,401,NULL,PrivacySuppressed
Centura Institute,9500,28116,NULL,NULL,45,4930,PrivacySuppressed
Precision Manufacturing Institute,6340,NULL,NULL,NULL,38,NULL,PrivacySuppressed
Professional Massage Training Center,9500,NULL,NULL,NULL,57,NULL,PrivacySuppressed
Regency School of Hair Design,PrivacySuppressed,NULL,NULL,NULL,17,NULL,PrivacySuppressed
Rosslyn Training Academy of Cosmetology,PrivacySuppressed,10793,NULL,NULL,31,NULL,PrivacySuppressed
SAE Institute of Technology-Nashville,5500,35041,NULL,NULL,92,2560,PrivacySuppressed
eClips School of Cosmetology and Barbering,9500,NULL,NULL,NULL,114,NULL,PrivacySuppressed
Shear Academy,9222,NULL,NULL,NULL,26,NULL,PrivacySuppressed
Southern Technical College,14480,NULL,NULL,NULL,1502,3663,PrivacySuppressed
Stanbridge University,14746,NULL,0.7871,NULL,963,9167,PrivacySuppressed
Styletrends Barber and Hairstyling Academy,6450,NULL,NULL,NULL,17,NULL,PrivacySuppressed
Universal Career School,6175,NULL,NULL,NULL,133,NULL,PrivacySuppressed
Universal College of Healing Arts,15133,25786,NULL,NULL,27,4167,PrivacySuppressed
Uta Mesivta of Kiryas Joel,PrivacySuppressed,15794,NULL,NULL,1561,2331,PrivacySuppressed
Harrisburg University of Science and Technology,9500,35931,NULL,NULL,278,8639,PrivacySuppressed
The Art Institute of Ohio-Cincinnati,10500,31416,NULL,NULL,834,4269,33100
Stevens-Henager College,8500,27787,NULL,NULL,53,3767,27700
University of Phoenix-Iowa,9254,23434,NULL,NULL,46,1667,48400
University of Phoenix-San Antonio Campus,9254,24514,NULL,NULL,816,3762,48400
University of Phoenix-Austin Campus,9254,24514,NULL,NULL,704,1849,48400
University of Phoenix-Richmond-Virginia Beach Campus,9254,23434,NULL,NULL,640,2105,48400
University of Phoenix-Raleigh Campus,9254,23434,NULL,NULL,148,1538,48400
Blue Ridge Community and Technical College,6567.5,13531,NULL,NULL,2240,4413,PrivacySuppressed
Sanford-Brown College-Las Vegas,14166,20099,NULL,NULL,447,4562,28400
Sanford-Brown College-Seattle,14166,22472,NULL,NULL,384,4997,28400
International Academy of Design and Technology-Nashville,27000,NULL,NULL,NULL,117,3911,26100
Le Cordon Bleu College of Culinary Arts-Miami,8181,21070,NULL,NULL,721,4359,32100
Le Cordon Bleu College of Culinary Arts-Minneapolis,11094,20678,NULL,NULL,572,4152,30100
Anthem College-Portland,9155,26812,NULL,NULL,232,NULL,22100
Platt College-McCann-Shreveport,8024,23651,NULL,NULL,395,3471,28900
ITT Technical Institute-Kansas City,12224,27539,0.9657,NULL,362,5665,38800
ITT Technical Institute-Kennesaw,12224,26402,0.944,NULL,351,4838,38800
ITT Technical Institute-Owings Mills,12224,26492,0.9514,NULL,616,4840,38800
ITT Technical Institute-Warrensville Heights,12224,27139,0.6414,NULL,458,5182,38800
Union Graduate College,PrivacySuppressed,NULL,NULL,NULL,NULL,7263,NULL
Chambersburg Beauty School,7305,NULL,NULL,NULL,64,NULL,14400
Daytona College,7667,NULL,NULL,NULL,327,3748,PrivacySuppressed
Delta Technical College,9500,NULL,NULL,NULL,648,NULL,28100
United States University,8625,19353,NULL,NULL,81,7500,PrivacySuppressed
Westwood College-Arlington Ballston,13152,30640,NULL,NULL,371,4569,28100
Brightwood College-Bakersfield,9465,NULL,NULL,NULL,479,3720,25000
Brightwood College-Fresno,9419.5,NULL,NULL,NULL,312,3722,21900
Empire Beauty School-Avondale,7583,NULL,NULL,NULL,249,NULL,19100
Empire Beauty School-North Tucson,5000,NULL,NULL,NULL,6,NULL,20600
Empire Beauty School-Littleton,6513,NULL,NULL,NULL,92,NULL,16900
Empire Beauty School-Aurora,6513,NULL,NULL,NULL,136,NULL,16900
Altierus Career College-Columbus,9500,NULL,NULL,NULL,462,NULL,23500
Everest College-Merrionette Park,9500,NULL,NULL,NULL,420,NULL,28000
Everest College-Earth City,9500,NULL,NULL,NULL,573,NULL,29300
Everest College-Mesa,5760,22761,NULL,NULL,367,4112,28600
Everest Institute-Silver Spring,9500,NULL,NULL,NULL,527,NULL,24200
Alvareitas College of Cosmetology-Belleville,6910,NULL,NULL,NULL,18,NULL,19100
AmeriTech College-Draper,13299,37574,0.7755,NULL,1036,6096,26800
Argosy University-Los Angeles,6334,25416,NULL,NULL,319,NULL,37800
Brown Mackie College-Miami,9500,25708,NULL,NULL,953,6238,29600
Regency Beauty Institute-Darien,9410,NULL,NULL,NULL,58,NULL,21800
Regency Beauty Institute-Aurora,9410,NULL,NULL,NULL,129,NULL,21800
Regency Beauty Institute-Madison,9410,NULL,NULL,NULL,49,NULL,21800
Regency Beauty Institute-Ridgedale,9410,NULL,NULL,NULL,52,NULL,21800
San Joaquin Valley College-Modesto,12997.5,22304,NULL,NULL,318,3819,27100
Fortis College-Largo,10500,15181,NULL,NULL,279,3349,22200
Platt College-Moore,9449,NULL,NULL,NULL,172,3772,22800
Platt College-Dallas,9449,NULL,NULL,NULL,88,4535,22800
Universal Technical Institute of Massachusetts Inc,13132,NULL,NULL,NULL,1083,NULL,43700
Eagle Gate College-Layton,12669,26934,NULL,NULL,219,4852,28900
Carsten Institute of Cosmetology,9500,NULL,NULL,NULL,142,NULL,20100
Academy of Hair Design-Jasper,6842.5,NULL,NULL,NULL,57,NULL,15700
SAE Expression College,27000,29989,NULL,NULL,574,5723,PrivacySuppressed
Unitech Training Academy-West Monroe,5300,NULL,NULL,NULL,111,NULL,22300
Daymar College-Bellevue,12539.5,24021,NULL,NULL,97,3688,21200
Salter School-Fall River,7359,NULL,NULL,NULL,298,NULL,27100
Seacoast Career School-Manchester Campus,8039,NULL,NULL,NULL,321,NULL,26100
Instituto de Educacion Tecnica Ocupacional La Reine-Aguadilla,PrivacySuppressed,NULL,NULL,NULL,138,NULL,12100
New River Community and Technical College,3500,9174,NULL,NULL,2022,5143,PrivacySuppressed
The College of Health Care Professions-Southwest Houston,7917,NULL,1,NULL,229,NULL,28200
Eagle Gate College-Salt Lake City,12669,23529,NULL,NULL,152,4778,28900
